clientId,country,product_id
21829,RJ,5050
9495,SP,27192
57378,PR,24573
60407,PA,27751
57890,SP,5275
57890,SP,5275
67170,SP,571
68016,SP,28842
68016,SP,28842
91324,SP,14727
14030,SP,11695
70079,SP,31533
56946,BA,8299
82651,SP,3526
82651,SP,3526
49058,SP,27561
49058,SP,27561
27411,RJ,5896
21736,SP,17338
21736,SP,17338
15948,SP,4437
92146,RS,17490
58680,RJ,25345
20026,SP,14093
20026,SP,14093
43216,PB,12895
2574,SP,614
68800,MG,7463
19914,SP,15572
94169,GO,3227
94917,SP,3117
94917,SP,3117
94917,SP,3117
17828,RJ,13042
17828,RJ,13042
36994,SP,8346
1098,MS,11217
76158,SP,5360
86040,RJ,23136
86040,RJ,23136
74299,SP,12005
8243,RJ,4272
28940,SP,7465
41166,RJ,30177
41166,RJ,30177
8176,RS,5522
57083,RJ,29695
70941,RJ,3621
73734,SC,25492
93880,SP,8627
68346,RJ,18879
39538,SP,9656
11289,SC,23342
54196,RJ,13898
844,SP,26092
52405,SC,10753
34087,RJ,23393
45324,PE,28280
49488,MG,20180
74492,BA,31023
38546,SP,7861
56107,RJ,14579
17962,DF,15872
11677,PA,18066
49446,SP,25815
29298,PI,19374
61556,SP,12674
43544,SP,14265
21088,SP,2232
28771,DF,17129
6912,RJ,19906
6912,RJ,19906
31905,SP,1984
53988,SP,2497
53988,SP,2497
82243,RJ,26056
44775,RS,12630
70355,RJ,27459
92752,MG,17292
92752,MG,17292
52875,PR,29142
85772,RJ,27643
64725,SP,18394
2472,SP,31620
13228,SP,7975
59801,MG,5525
31431,RJ,6888
8954,SC,28138
31995,ES,27780
4360,MG,19099
80514,MG,12491
65609,SP,28458
5460,SP,17787
18897,MG,4858
91314,DF,30325
37360,SP,27102
46882,SC,29276
59400,RJ,21136
20725,ES,12618
2528,PR,12498
32946,RS,3798
48564,SP,15466
29506,CE,22347
29506,CE,22347
29506,CE,22347
29506,CE,22347
29506,CE,22347
55488,MG,26774
56252,SP,18214
86215,MG,27576
1045,PR,15572
80432,SP,14177
69027,SP,20279
32528,SP,11439
58506,SC,12674
15627,SP,10487
48040,BA,17849
64050,MG,15711
79400,SP,6442
26457,SP,9719
18121,SP,13877
89212,PE,15463
12773,PR,10266
80940,RJ,18031
27474,SP,30132
94624,TO,28778
36714,MG,30721
13711,SP,2782
294,RS,3620
42741,SP,15579
5852,SP,8910
5852,SP,8910
756,SP,27055
